seller,product_count,avg_rate,total_reviews
پخش آرشین,138,70.6231884057971,8229
دهکده مدرن من,43,70.6046511627907,2132
کیف چ,41,70.58536585365853,283
کالیته استور,21,70.57142857142857,992
دنیای کتاب زبان,555,70.56936936936937,7231
کالا پزشکی نوین طب,25,70.56,2357
سدای شاد,301,70.53820598006645,3600
ماهان واردات,196,70.51020408163265,10458
پکویو,20,70.5,165
بنفش صورتی,37,70.48648648648648,1043
اوای پخش تهران,208,70.45192307692308,22341
فروشگاه سپندآسا,41,70.4390243902439,8165
گالری گارنت,739,70.39512855209743,83821
فروشگاه گیوا,130,70.38461538461539,24459
سوریم,159,70.37735849056604,18078
فانی تویز,189,70.37037037037037,12067
دل لونا,35,70.34285714285714,400
بایتک,24,70.33333333333333,407
نارین گستر مهرگل,122,70.32786885245902,5959
فروشگاه سپندار,27,70.29629629629629,618
یس,107,70.2803738317757,1594
فروشگاه تکنو سیستم,38,70.26315789473684,343
امپر,478,70.25523012552301,21644
قلم اندیشه,87,70.25287356321839,10132
انتشارات موثر  ,34,70.23529411764706,358
گروه تولیدی عرفان,35,70.22857142857143,3849
استقبال,81,70.22222222222223,5959
بازرگانی آپوار,20,70.2,1577
مهیاس پلاس,81,70.19753086419753,1351
شرکت رهاسان صنعت,24,70.16666666666667,664
موسسه ی تجارتی شبنم,32,70.125,876
زرین برکت,34,70.11764705882354,130
تهران دکور,46,70.08695652173913,2019
دیلی و برادران,139,70.0863309352518,4046
فاموس,26,70.0,1141
لوتوس کمپانی,143,69.98601398601399,29090
انتشارات پارمیس,61,69.9672131147541,2068
مرکز پخش سناتور,203,69.96059113300493,23241
ایمنس هربال,45,69.95555555555555,369
بانوی تهران,457,69.94748358862144,48525
آسا درمان,30,69.93333333333334,2341
گالری کیان بیوتی,77,69.92207792207792,2517
باغ کتاب ایران,381,69.92125984251969,9972
کانون طب نوین,50,69.92,2047
 هرمودر ,48,69.91666666666667,12300
بیش خوان,138,69.8695652173913,1583
هایپر دکتر,25,69.84,1506
باوین شاپ,117,69.76068376068376,1414
نوزده نودیک,299,69.75919732441471,12127
بازرگانی دلوین,24,69.66666666666667,2548
سرزمین گالری,48,69.66666666666667,7787
فرهنگ زبان,65,69.66153846153846,243
کامیکام,52,69.65384615384616,1231
ونوس طب,40,69.65,1476
آوای کتاب خوب,542,69.63468634686348,7698
قرن بیست و یک,42,69.61904761904762,2685
رادین طب,20,69.6,521
جی 5,40,69.55,570
طراحی و دوخت قرآنی,35,69.54285714285714,373
ماهان آرایش,90,69.4888888888889,3160
مرکز آموزش و تحقیقات صنعتی ایران,166,69.48192771084338,791
تجارت گستر ایرانیان,60,69.46666666666667,5472
ابزار هنر,123,69.44715447154472,6156
مگامال,99,69.43434343434343,2880
تریکو تندیس ,80,69.425,3374
ژیوار,245,69.41224489795918,3033
نسل بوک,222,69.38738738738739,3359
تحریر آوان,48,69.375,14363
فروشگاه شانا,25,69.36,969
کتاب مهربان,65,69.35384615384615,1035
میرشکار,106,69.33962264150944,2210
تحریر پارسه,50,69.32,2966
آقای کلاه,116,69.29310344827586,1947
کالای نیک شاپ,28,69.28571428571429,1563
اودینه,206,69.28155339805825,33468
کارگذاری جنوب,44,69.27272727272727,1588
رسپینا استور,33,69.27272727272727,8661
بیورا,56,69.25,821
دنیای کمپ عالیجناب,45,69.24444444444444,16915
چاپ آذرلاکچری,21,69.23809523809524,788
پرگار میرداماد,144,69.19444444444444,5384
شهر صندل ایران,55,69.12727272727273,946
الوان شاپ,60,69.1,704
مداوا مارکت,24,69.08333333333333,762
فروشگاه نومی,34,69.05882352941177,1090
پخش مرکزی آسمان,90,69.04444444444445,4860
توسعه تجارت خورشید,32,69.0,443
رینوا,28,69.0,3308
