seller,total_products,fake_count,fake_percent
لوگیج,28,1,3.57
یونی هوم,28,1,3.57
زیورآلات درخشان,28,1,3.57
زای,169,6,3.55
گالری شوپارد,563,20,3.55
دیان,113,4,3.54
گروه تجاری مونو,170,6,3.53
گلبرگ کیدز,1623,57,3.51
زیورالات خرداد,57,2,3.51
ویندا شاپ,114,4,3.51
تک سلر,114,4,3.51
لوتوس کمپانی,143,5,3.5
فایدیم هوم,316,11,3.48
سمفونی آبی,58,2,3.45
لاله طلایی,203,7,3.45
آنست,29,1,3.45
فروشگاه تورک اویم,29,1,3.45
اسباب بازی تارا,29,1,3.45
آذردنیز,58,2,3.45
تولو,29,1,3.45
بابی گالری,29,1,3.45
پخش چکاوک,58,2,3.45
بردیا مارکت,29,1,3.45
پوشاک افرا,409,14,3.42
زعفرانیه,295,10,3.39
انتشارات الوندپویان,711,24,3.38
رسا کالا,89,3,3.37
آریوشاپ,89,3,3.37
ایرانیان توس,30,1,3.33
پلی فکتوری,30,1,3.33
فروشگاه سبدطلایی,30,1,3.33
بازرگانی نصیریان,60,2,3.33
واو,30,1,3.33
آداکس اسپورت,30,1,3.33
شونیا,30,1,3.33
ماهان کادو,30,1,3.33
مام سین,181,6,3.31
آووست,91,3,3.3
وی نو,91,3,3.3
پانیل اسپرت,699,23,3.29
مرینوس لند,61,2,3.28
ساعت آنالوگ,122,4,3.28
کتابسرای دانشمند,1132,37,3.27
پژواک هایپر,246,8,3.25
لیدی شاپ مشهد,246,8,3.25
مهندسی ماکان فارمد,31,1,3.23
واریانا,31,1,3.23
اما استایل,31,1,3.23
کودکانه های من,62,2,3.23
کیف خونه,31,1,3.23
پرن پوشاک,31,1,3.23
شاپی فا,31,1,3.23
نایریکاشاپ,62,2,3.23
بانووک,155,5,3.23
خرازی خوش ذوق,31,1,3.23
سام خرید ,590,19,3.22
سی و سه پل,188,6,3.19
کیانی آرت,94,3,3.19
شقایق تهران,157,5,3.18
نیچرلاو,32,1,3.13
گالری هنری پرنسا,32,1,3.13
شیدا تحریر,32,1,3.13
بازرگانی میشکا,97,3,3.09
مدرن نیوتک,97,3,3.09
فروشگاه ماهان,65,2,3.08
داجو,65,2,3.08
تهران پوش,196,6,3.06
آکادمی دانشمند کوچک,230,7,3.04
سیمرغ کمپ,33,1,3.03
ماگدا,33,1,3.03
گیفتوری,33,1,3.03
تولید کلاه تهران,33,1,3.03
اسکای اسپرت,33,1,3.03
بیتکس,33,1,3.03
هایپر پازل,67,2,2.99
دینا نیل,67,2,2.99
پیلاپیلا,1741,52,2.99
آیکیا تاج,135,4,2.96
آقا شاپ,270,8,2.96
ثمن کالا,34,1,2.94
مفتح,34,1,2.94
آرمیتا و آریا,408,12,2.94
چاپر,68,2,2.94
کاری ماماما,34,1,2.94
گالری مادروپسر,34,1,2.94
پرنیسا,34,1,2.94
برند استایل,34,1,2.94
ارکیده,238,7,2.94
آنالیا اسکارف,412,12,2.91
رترومد,69,2,2.9
میلادی بازرگانی,2129,61,2.87
آرما,35,1,2.86
تولید لباس بچگانه گراکو,140,4,2.86
صنایع دستی پادوک,70,2,2.86
سورا گالری,35,1,2.86
سلامت پا,35,1,2.86
کیمویار تجارت,71,2,2.82
پخش پاپو,71,2,2.82
گالری بارش,178,5,2.81
کیوت گالری,143,4,2.8
نور و صدا یاس,36,1,2.78
فروشگاه نیوبالانس,36,1,2.78
توسعه امید,36,1,2.78
عینک جمبو,36,1,2.78
 برادران آفتاب,36,1,2.78
آرتمیس غرب,144,4,2.78
فانتزی هوم,36,1,2.78
تحریر پژوه,145,4,2.76
وارونه,182,5,2.75
گالری محمد پارسا,109,3,2.75
تایم لند,182,5,2.75
نادین گالری,74,2,2.7
روک لانژ,37,1,2.7
فروشگاه لایتینو,37,1,2.7
نیلوارا,37,1,2.7
